date,open,close,high,low,volume
2019-07-28,9491.9932638781,9491.945541316614,9573.3,9324,3716.0355912100026
2019-07-29,9533.273455023094,9533.322368613219,9738.3,9101.4,10392.693468810006
2019-07-30,9530.578512004022,9530.650770189883,9747.76671,9380,5223.764702910008
2019-07-31,9820.471887921725,9820.837103389551,10120,9561.1,7487.457950959994
2019-08-01,10068.5716802883,10068.78434635264,10500,9875,8015.470529600004
2019-08-02,10463.403596699589,10463.301598154841,10659,10331,8521.155718070017
2019-08-03,10752.717540700853,10753.005672859099,10917,10413,7278.883196109987
2019-08-04,10805.043967870186,10805.13282513371,11040,10514,9027.577715840009
2019-08-05,11599.68615482902,11600.192999727511,11939,10936,15609.058620889997
2019-08-06,11812.310217780489,11812.039888518664,12325,11310.627235,18613.87769579
2019-08-07,11675.279161488455,11675.678295606433,12153,11249,14604.13782109001
2019-08-08,11856.488350587744,11856.361260804519,12072,11550,10374.680948790015
2019-08-09,11872.111174175297,11872.217009517966,12130,11703,8869.648963989981
2019-08-10,11662.735736077293,11662.267216700362,12011,11208,9133.300736969994
2019-08-11,11391.13213468779,11391.179280197124,11580,11129,5332.158558220001
2019-08-12,11429.88017494699,11429.80630469095,11615,11260,3544.5220652299963
2019-08-13,11220.25363038033,11219.914054192192,11468,10800,8926.736280409998
2019-08-14,10549.066917804326,10548.669968382004,10940.42910201,10100,13129.659080759995
2019-08-15,10032.474811828666,10032.495849684941,10435,9522,18066.52565989001
2019-08-16,10248.037549741644,10248.21840944731,10568,9777,12933.09879309
2019-08-17,10326.644215989625,10326.396356355068,10500,10004,5419.132437159999
2019-08-18,10291.08106543285,10291.291878433893,10533,10086,3900.81780803
2019-08-19,10593.749609823948,10593.964076576074,10863,10280,7011.399144499997
2019-08-20,10777.510456332553,10777.492256457186,10993,10584,6141.958979740006
2019-08-21,10279.375846276718,10278.848650867156,10876,9824,11971.327892139994
2019-08-22,10056.915421753252,10056.864124761838,10255,9787,6377.067771900005
2019-08-23,10247.215002066023,10247.370193400135,10466,10047,6699.46937576001
2019-08-24,10186.786287397246,10186.517982538033,10455,9893.8,4985.427706770006
2019-08-25,10108.788521944722,10108.736028665415,10350,9805.8,5355.034672920008
2019-08-26,10331.698606553333,10331.913524830512,10675,9954.5130433,9181.26682010998
2019-08-27,10203.91086045621,10203.791081037622,10418,10021,4585.060524750008
2019-08-28,10095.025831902822,10094.817789787756,10370,9570,10229.473864780011
2019-08-29,9564.08899819983,9563.94797728382,9769,9358.2,7225.837189519998
2019-08-30,9553.88885462089,9553.970572031176,9725,9380.4,3769.0030870500054
2019-08-31,9606.772297851647,9606.869748126604,9682.8,9471.9,2701.974203889997
2019-09-01,9626.559738629041,9626.621002381105,9868,9555,2548.9701280699987
2019-09-02,9909.580808707326,9910.085392208714,10474,9720.2,11152.862194110014
2019-09-03,10507.178450716061,10507.429951638253,10766,10291,10069.05437067997
2019-09-04,10581.143312189419,10581.094360181909,10849,10410,6987.532138750001
2019-09-05,10575.716098266588,10575.58361891356,10700,10481.64244548,3284.905483890002
2019-09-06,10679.640790332825,10679.489530837665,10933,10208,11083.112805550007
2019-09-07,10418.084476873215,10418.177024684695,10582,10300,3497.1965012700052
2019-09-08,10477.086246437171,10477.05930300495,10599,10241.90944816,3588.305524390002
2019-09-09,10330.491316831252,10330.366515561363,10557,10118,5159.463480769998
2019-09-10,10259.04939433185,10258.946408435908,10399,9959,4211.0453721700005
2019-09-11,10082.256764719808,10082.214364828878,10300,9814,4277.499553530006
2019-09-12,10225.08927047139,10225.2992843683,10444,10064,4245.770405059992
2019-09-13,10339.01628241954,10339.035190098824,10488,10155,4622.52232582
2019-09-14,10354.384022434186,10354.321638390604,10488,10255,3404.83486897
2019-09-15,10341.926407649831,10341.901842398931,10419,10275,1817.5726788900013
2019-09-16,10274.068288797827,10274.095185498629,10404,10091,5406.252271710007
2019-09-17,10250.464423106716,10250.319869276504,10355,10163,3037.4089652999955
2019-09-18,10223.360641445974,10223.355730879044,10278,10111,3392.0937728200033
2019-09-19,10007.15436739899,10007.1619799753,10487,9655,9542.17436656001
2019-09-20,10216.141482897972,10216.05113591743,10340,10104,2742.1136778000046
2019-09-21,10079.408174244123,10079.369620138299,10212,9942.9,3034.4165502700052
2019-09-22,9998.855982659781,9998.853098670113,10105,9880.7,2615.3018608200045
2019-09-23,9932.933226122112,9932.63267858061,10098,9650,4936.756230089996
2019-09-24,9530.428411553461,9529.660418284167,9795,8100,33738.01522983001
2019-09-25,8496.613643296598,8496.506390545559,8800,8262,13467.895620530007
2019-09-26,8314.916571319249,8314.526452615057,8680,7796.6,16249.226660899982
2019-09-27,8066.585113702072,8066.677772551673,8296.5,7906.3,7331.541116879997
2019-09-28,8185.502448841646,8185.442956283088,8309.8,8032.1,3957.8380902900035
2019-09-29,8103.369009485123,8103.33063512441,8390,7930,7752.368724219999
2019-09-30,8085.30958614087,8085.4339053564045,8385,7733.3,11086.00053369
2019-10-01,8380.58194378981,8380.681651899937,8539.3,8228,5721.613992730006
2019-10-02,8278.494215648518,8278.503904529116,8399.9,8193,3253.89481854
2019-10-03,8274.962082501566,8274.993479555582,8440,8084.1,3978.8255265699995
2019-10-04,8174.056808463991,8174.103806337946,8313.3,8032.7,3049.2113987299986
2019-10-05,8131.165257443329,8131.177856299072,8238,8040,3407.411877550007
2019-10-06,8023.122470236761,8023.000509616766,8207.1,7806.7,5830.872111269996
2019-10-07,8035.283239359968,8035.432602590932,8366.1,7793.2,8067.585140719985
2019-10-08,8236.929797621644,8236.838590563382,8362,8132.7,3491.9791443900017
2019-10-09,8329.657875024226,8329.945125483195,8719.2,8146.55980111,8375.399167289988
2019-10-10,8576.534519901137,8576.580654494672,8683.9,8472,4429.683236659997
2019-10-11,8437.28725238876,8437.119695779802,8815.3,8302,5808.859415209998
2019-10-12,8348.605832789266,8348.580920161428,8423.7,8253,2012.5126455900024
2019-10-13,8377.420120185603,8377.392588105393,8477.96534398,8160.4,3976.7580104399963
2019-10-14,8317.845221192092,8317.886175336493,8428.2,8227.3,2692.4168094800034
2019-10-15,8300.747279523734,8300.66543921692,8439.7,8100,3196.8498393400014
2019-10-16,8098.7399379961025,8098.5881286209315,8204.3,7960,7025.9391023800035
2019-10-17,8049.6914047416885,8049.75634540732,8148,7949.3,2513.5180609400045
2019-10-18,8000.877050950351,8000.805432344309,8150.532657100001,7860,5676.038444889992
2019-10-19,7996.864292804608,7996.847694530585,8119.5,7927,3542.4708391800045
2019-10-20,8035.145100655231,8035.326969841276,8337,7921.6,4778.198134750003
2019-10-21,8247.167431518652,8247.178388371149,8371.3,8181.8,3475.9273181000067
2019-10-22,8235.575835075811,8235.493520603643,8333,8102.4,3338.4619146699943
2019-10-23,7822.810794458009,7822.371001907335,8131.5,7333.4,13015.661910050008
2019-10-24,7466.884095015563,7466.930319589765,7529,7367.9,6159.665377819993
2019-10-25,7814.569342990982,7815.454252106922,8803.1,7426,15831.25456785999
2019-10-26,9289.1225377911,9289.592258957364,10480,8575,33132.59974000005
2019-10-27,9405.83150213112,9406.008559961329,9823.86430734,9121.2,11115.109446880018
2019-10-28,9500.914025913338,9500.864205247288,9948.9,9300,8694.423796569992
2019-10-29,9395.022729329883,9395.017651072863,9559.80072846,9100,7403.632403090004
2019-10-30,9224.845398079302,9224.680040027004,9483.3,9035,5043.725778559999
2019-10-31,9198.436779729687,9198.46174693548,9467.1,8982.1,5602.9860555800005
2019-11-01,9186.537279633027,9186.540056191925,9333,9085.5577764,4143.43213442
2019-11-02,9312.595361349613,9312.712064979822,9429.5,9242.7,3665.6921123900033
2019-11-03,9248.857047514004,9248.798126249754,9400.6,9100,3590.554436180006
2019-11-04,9271.17856770468,9271.26526903259,9645,9152,7278.034856710009
2019-11-05,9365.904761462903,9365.863528555501,9504.09548235,9185.1,3602.7235309699977
2019-11-06,9353.7251681199,9353.7306735841,9475,9278,3483.0263835400087
2019-11-07,9252.556617629813,9252.450211041512,9387.1,9051.6,3734.518672939998
